2.20390e-03 8.58820e-04
5.12818e-03 4.52415e-03
8.05178e-03 1.11146e-02
1.09679e-02 2.06252e-02
1.38734e-02 3.30468e-02
1.67653e-02 4.83674e-02
1.96408e-02 6.65719e-02
2.24972e-02 8.76427e-02
2.53316e-02 1.11559e-01
2.81413e-02 1.38298e-01
3.09234e-02 1.67832e-01
3.36753e-02 2.00134e-01
3.63944e-02 2.35172e-01
3.90778e-02 2.72911e-01
4.17231e-02 3.13315e-01
4.43277e-02 3.56344e-01
4.68889e-02 4.01956e-01
4.94043e-02 4.50106e-01
5.18714e-02 5.00748e-01
5.42878e-02 5.53832e-01
5.66512e-02 6.09306e-01
5.89593e-02 6.67116e-01
6.12097e-02 7.27206e-01
6.34003e-02 7.89516e-01
6.55290e-02 8.53986e-01
6.75937e-02 9.20552e-01
6.95923e-02 9.89151e-01
7.15229e-02 1.05971e+00
7.33836e-02 1.13217e+00
7.51726e-02 1.20646e+00
7.68882e-02 1.28249e+00
7.85287e-02 1.36021e+00
8.00924e-02 1.43953e+00
8.15778e-02 1.52037e+00
8.29836e-02 1.60266e+00
8.43083e-02 1.68631e+00
8.55506e-02 1.77124e+00
8.67093e-02 1.85738e+00
8.77833e-02 1.94463e+00
8.87715e-02 2.03292e+00
8.96729e-02 2.12215e+00
9.04868e-02 2.21224e+00
9.12122e-02 2.30309e+00
9.18486e-02 2.39463e+00
9.23951e-02 2.48676e+00
9.28514e-02 2.57939e+00
9.32170e-02 2.67243e+00
9.34915e-02 2.76579e+00
9.36747e-02 2.85938e+00
9.37663e-02 2.95311e+00
9.37663e-02 3.04689e+00
9.36747e-02 3.14062e+00
9.34915e-02 3.23421e+00
9.32170e-02 3.32757e+00
9.28514e-02 3.42061e+00
9.23951e-02 3.51324e+00
9.18486e-02 3.60537e+00
9.12122e-02 3.69691e+00
9.04868e-02 3.78776e+00
8.96729e-02 3.87785e+00
8.87715e-02 3.96708e+00
8.77833e-02 4.05537e+00
8.67093e-02 4.14262e+00
8.55506e-02 4.22876e+00
8.43083e-02 4.31369e+00
8.29836e-02 4.39734e+00
8.15778e-02 4.47963e+00
8.00924e-02 4.56047e+00
8.58820e-04 8.58820e-04 2.11496e-14
8.58820e-04 4.52415e-03 -1.00921e-16
8.58820e-04 1.11146e-02 -4.09492e-17
8.58820e-04 2.06252e-02 -9.11545e-17
8.58820e-04 3.30468e-02 -3.31832e-16
8.58820e-04 4.83674e-02 -1.03758e-15
8.58820e-04 6.65719e-02 -2.86530e-15
8.58820e-04 8.76427e-02 -7.05117e-15
8.58820e-04 1.11559e-01 -1.59849e-14
8.58820e-04 1.38298e-01 -3.39877e-14
8.58820e-04 1.67832e-01 -6.83647e-14
8.58820e-04 2.00134e-01 -1.30346e-13
8.58820e-04 2.35172e-01 -2.35675e-13
8.58820e-04 2.72911e-01 -4.03755e-13
8.58820e-04 3.13315e-01 -6.55185e-13
8.58820e-04 3.56344e-01 -1.00739e-12
8.58820e-04 4.01956e-01 -1.46941e-12
8.58820e-04 4.50106e-01 -2.03752e-12
8.58820e-04 5.00748e-01 -2.69351e-12
8.58820e-04 5.53832e-01 -3.40622e-12
8.58820e-04 6.09306e-01 -4.13660e-12
8.58820e-04 6.67116e-01 -4.84375e-12
8.58820e-04 7.27206e-01 -5.49081e-12
8.58820e-04 7.89516e-01 -6.04884e-12
8.58820e-04 8.53986e-01 -6.49819e-12
8.58820e-04 9.20552e-01 -6.82799e-12
8.58820e-04 9.89151e-01 -7.03442e-12
8.58820e-04 1.05971e+00 -7.11841e-12
8.58820e-04 1.13217e+00 -7.08405e-12
8.58820e-04 1.20646e+00 -6.93718e-12
8.58820e-04 1.28249e+00 -6.68505e-12
8.58820e-04 1.36021e+00 -6.33633e-12
8.58820e-04 1.43953e+00 -5.90159e-12
8.58820e-04 1.52037e+00 -5.39383e-12
8.58820e-04 1.60266e+00 -4.82903e-12
8.58820e-04 1.68631e+00 -4.22571e-12
8.58820e-04 1.77124e+00 -3.60540e-12
8.58820e-04 1.85738e+00 -2.99062e-12
8.58820e-04 1.94463e+00 -2.40413e-12
8.58820e-04 2.03292e+00 -1.86638e-12
8.58820e-04 2.12215e+00 -1.39398e-12
8.58820e-04 2.21224e+00 -9.97595e-13
8.58820e-04 2.30309e+00 -6.81224e-13
8.58820e-04 2.39463e+00 -4.42056e-13
8.58820e-04 2.48676e+00 -2.71556e-13
8.58820e-04 2.57939e+00 -1.57388e-13
8.58820e-04 2.67243e+00 -8.58480e-14
8.58820e-04 2.76579e+00 -4.39774e-14
8.58820e-04 2.85938e+00 -2.11027e-14
8.58820e-04 2.95311e+00 -9.45083e-15
8.58820e-04 3.04689e+00 -3.92298e-15
8.58820e-04 3.14062e+00 -1.49463e-15
8.58820e-04 3.23421e+00 -5.13922e-16
8.58820e-04 3.32757e+00 -1.55401e-16
8.58820e-04 3.42061e+00 -3.89839e-17
8.58820e-04 3.51324e+00 -6.81445e-18
8.58820e-04 3.60537e+00 -5.46825e-20
8.58820e-04 3.69691e+00 5.07556e-19
8.58820e-04 3.78776e+00 1.65667e-19
8.58820e-04 3.87785e+00 -1.64629e-20
8.58820e-04 3.96708e+00 -2.15662e-20
8.58820e-04 4.05537e+00 6.05653e-21
8.58820e-04 4.14262e+00 -3.90810e-20
8.58820e-04 4.22876e+00 -1.77873e-19
8.58820e-04 4.31369e+00 -3.21828e-19
8.58820e-04 4.39734e+00 -2.95797e-19
8.58820e-04 4.47963e+00 -3.97773e-20
8.58820e-04 4.56047e+00 -1.53468e-19
4.52415e-03 8.58820e-04 -1.00921e-16
4.52415e-03 4.52415e-03 1.13901e-15
4.52415e-03 1.11146e-02 -1.70386e-15
4.52415e-03 2.06252e-02 -1.12027e-14
4.52415e-03 3.30468e-02 -4.70264e-14
4.52415e-03 4.83674e-02 -1.52516e-13
4.52415e-03 6.65719e-02 -4.19391e-13
4.52415e-03 8.76427e-02 -1.03097e-12
4.52415e-03 1.11559e-01 -2.33722e-12
4.52415e-03 1.38298e-01 -4.97043e-12
4.52415e-03 1.67832e-01 -9.99544e-12
4.52415e-03 2.00134e-01 -1.90578e-11
4.52415e-03 2.35172e-01 -3.44547e-11
4.52415e-03 2.72911e-01 -5.90257e-11
4.52415e-03 3.13315e-01 -9.57807e-11
4.52415e-03 3.56344e-01 -1.47266e-10
4.52415e-03 4.01956e-01 -2.14804e-10
4.52415e-03 4.50106e-01 -2.97852e-10
4.52415e-03 5.00748e-01 -3.93741e-10
4.52415e-03 5.53832e-01 -4.97928e-10
4.52415e-03 6.09306e-01 -6.04695e-10
4.52415e-03 6.67116e-01 -7.08068e-10
4.52415e-03 7.27206e-01 -8.02660e-10
4.52415e-03 7.89516e-01 -8.84235e-10
4.52415e-03 8.53986e-01 -9.49924e-10
4.52415e-03 9.20552e-01 -9.98141e-10
4.52415e-03 9.89151e-01 -1.02832e-09
4.52415e-03 1.05971e+00 -1.04060e-09
4.52415e-03 1.13217e+00 -1.03558e-09
4.52415e-03 1.20646e+00 -1.01411e-09
4.52415e-03 1.28249e+00 -9.77253e-10
4.52415e-03 1.36021e+00 -9.26278e-10
4.52415e-03 1.43953e+00 -8.62729e-10
4.52415e-03 1.52037e+00 -7.88506e-10
4.52415e-03 1.60266e+00 -7.05929e-10
4.52415e-03 1.68631e+00 -6.17742e-10
4.52415e-03 1.77124e+00 -5.27055e-10
4.52415e-03 1.85738e+00 -4.37189e-10
4.52415e-03 1.94463e+00 -3.51450e-10
4.52415e-03 2.03292e+00 -2.72843e-10
4.52415e-03 2.12215e+00 -2.03782e-10
4.52415e-03 2.21224e+00 -1.45836e-10
4.52415e-03 2.30309e+00 -9.95868e-11
4.52415e-03 2.39463e+00 -6.46230e-11
4.52415e-03 2.48676e+00 -3.96972e-11
4.52415e-03 2.57939e+00 -2.30089e-11
4.52415e-03 2.67243e+00 -1.25504e-11
4.52415e-03 2.76579e+00 -6.42873e-12
4.52415e-03 2.85938e+00 -3.08496e-12
4.52415e-03 2.95311e+00 -1.38150e-12
4.52415e-03 3.04689e+00 -5.73530e-13
4.52415e-03 3.14062e+00 -2.18450e-13
4.52415e-03 3.23421e+00 -7.51342e-14
4.52415e-03 3.32757e+00 -2.27154e-14
4.52415e-03 3.42061e+00 -5.70016e-15
4.52415e-03 3.51324e+00 -9.96304e-16
4.52415e-03 3.60537e+00 -8.03010e-18
4.52415e-03 3.69691e+00 7.41975e-17
4.52415e-03 3.78776e+00 2.42193e-17
4.52415e-03 3.87785e+00 -2.40701e-18
4.52415e-03 3.96708e+00 -3.15309e-18
4.52415e-03 4.05537e+00 8.85395e-19
4.52415e-03 4.14262e+00 -5.71344e-18
4.52415e-03 4.22876e+00 -2.60035e-17
4.52415e-03 4.31369e+00 -4.70468e-17
4.52415e-03 4.39734e+00 -4.32432e-17
4.52415e-03 4.47963e+00 -5.81317e-18
4.52415e-03 4.56047e+00 -2.24312e-17
1.11146e-02 8.58820e-04 -4.09492e-17
1.11146e-02 4.52415e-03 -1.70386e-15
1.11146e-02 1.11146e-02 -2.57753e-14
1.11146e-02 2.06252e-02 -1.66803e-13
1.11146e-02 3.30468e-02 -6.99239e-13
1.11146e-02 4.83674e-02 -2.26756e-12
1.11146e-02 6.65719e-02 -6.23400e-12
1.11146e-02 8.76427e-02 -1.53200e-11
